# number of rays:      62
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2 -0.1000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.0000000E+00  0.0000000E+00 -0.1000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4 -0.9310345E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      5  0.0000000E+00  0.0000000E+00 -0.9310345E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      6 -0.8620690E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      7  0.0000000E+00  0.0000000E+00 -0.8620690E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      8 -0.7931034E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      9  0.0000000E+00  0.0000000E+00 -0.7931034E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     10 -0.7241379E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     11  0.0000000E+00  0.0000000E+00 -0.7241379E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     12 -0.6551724E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     13  0.0000000E+00  0.0000000E+00 -0.6551724E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     14 -0.5862069E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     15  0.0000000E+00  0.0000000E+00 -0.5862069E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     16 -0.5172414E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     17  0.0000000E+00  0.0000000E+00 -0.5172414E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     18 -0.4482759E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     19  0.0000000E+00  0.0000000E+00 -0.4482759E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     20 -0.3793103E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     21  0.0000000E+00  0.0000000E+00 -0.3793103E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     22 -0.3103448E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     23  0.0000000E+00  0.0000000E+00 -0.3103448E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     24 -0.2413793E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     25  0.0000000E+00  0.0000000E+00 -0.2413793E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     26 -0.1724138E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     27  0.0000000E+00  0.0000000E+00 -0.1724138E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     28 -0.1034483E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     29  0.0000000E+00  0.0000000E+00 -0.1034483E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     30 -0.3448276E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     31  0.0000000E+00  0.0000000E+00 -0.3448276E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     32  0.3448276E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
